Category,Parent Company,ALC Brand Extension,ALC Size,Markets,Time Periods,Total $ Sales,Total $ Sales YA,Total $ Sales Change vs Year-Ago,Total EQ Unit Sales,Total EQ Unit Sales YA,Total EQ Unit Sales Change vs Year-Ago,Total TDP,Total TDP YA,Total TDP Change vs Year-Ago,% ACV (Max),% ACV (Max) YA,% ACV (Max) Change vs Year-Ago,Total Average Price,Total Average Price YA,Total Average Price Change vs Year-Ago,Total Average EQ Price,Total Average EQ Price YA,Total Average EQ Price Change vs Year-Ago
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 04-05-2025,,493.92001342773438,-493.92001342773438,,0.33333337306976318,-0.33333337306976318,,6.3781821830635845,-6.3781821830635845,,0.06378182183063584,-0.06378182183063584,,61.7400016784668,-61.7400016784668,,1481.7598636436626,-1481.7598636436626
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-29-2025,,617.4000244140625,-617.4000244140625,,0.416666716337204,-0.416666716337204,,7.3626911140153437,-7.3626911140153437,,0.073626911140153448,-0.073626911140153448,,61.740002441406247,-61.740002441406247,,1481.7598819542072,-1481.7598819542072
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-22-2025,,246.96000671386719,-246.96000671386719,,0.16666668653488159,-0.16666668653488159,,3.5183059835968398,-3.5183059835968398,,0.035183059835968394,-0.035183059835968394,,61.7400016784668,-61.7400016784668,,1481.7598636436626,-1481.7598636436626
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-15-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-08-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 03-01-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-22-2025,,179.97999572753906,-179.97999572753906,,0.0833333432674408,-0.0833333432674408,,1.7994191126994192,-1.7994191126994192,,0.017994191126994193,-0.017994191126994193,,89.989997863769531,-89.989997863769531,,2159.75969126705,-2159.75969126705
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-15-2025,,94.989997863769531,-94.989997863769531,,0.0416666716337204,-0.0416666716337204,,1.0574969895655066,-1.0574969895655066,,0.010574969895655066,-0.010574969895655066,,94.989997863769531,-94.989997863769531,,2279.7596769619372,-2279.7596769619372
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-08-2025,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 02-01-2025,,94.989997863769531,-94.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.95373777057418985,-0.95373777057418985,,0.0095373777057418986,-0.0095373777057418986,,94.989997863769531,-94.989997863769531,,2279.7596769619372,-2279.7596769619372
